"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"80+","female","low","low","low","high","mid","low",0.879707638224818
"80+","female","low","low","low","high","low","low",0.865208358258993
"80+","male","low","low","low","high","mid","low",0.864228088153437
"80+","female","low","low","low","high","high","low",0.858028404277552
"80+","male","low","low","low","high","low","low",0.848184991693794
"80+","male","low","low","low","high","high","low",0.840265663212389
"70-79","male","low","low","low","high","mid","low",0.809906276209918
"80+","female","mid","low","low","high","mid","low",0.806597772954333
"65-69","male","low","low","low","high","mid","low",0.804699968882614
"80+","female","low","low","low","mid","mid","low",0.800903788594388
"80+","male","low","low","low","high","mid","mid",0.797044638654739
"80+","female","low","low","high","low","mid","low",0.797019990287545
"65-69","male","low","low","low","high","high","low",0.791591847025115
"80+","female","mid","low","low","high","low","low",0.785435625109247
"80+","male","mid","low","low","high","mid","low",0.784020029548727
"80+","female","low","low","low","mid","low","low",0.779289085838556
"80+","male","low","low","low","mid","mid","low",0.777844408162317
"80+","male","low","low","low","high","low","mid",0.775128604434181
"80+","female","mid","low","low","high","high","low",0.775110900116908
"80+","female","low","low","high","low","low","low",0.77510204544691
"80+","male","low","low","high","low","mid","low",0.773637922073745
"80+","female","low","low","low","mid","high","low",0.768755671324914
"70-79","male","low","low","low","high","high","low",0.767765905393696
"80+","male","low","low","low","high","high","mid",0.764456646400402
"80+","female","low","low","high","low","high","low",0.764429210037379
"80+","male","mid","low","low","high","low","low",0.761119065959713
"80+","male","low","low","low","mid","low","low",0.754493674512331
"70-79","female","low","low","low","high","mid","low",0.753730250949619
"70-79","male","mid","low","low","high","mid","low",0.752758316772373
"80+","female","low","low","low","low","mid","low",0.752470938874779
"80+","female","low","low","low","high","mid","mid",0.750586858614595
"80+","female","low","mid","low","high","high","low",0.75019266849168
"80+","male","mid","low","low","high","high","low",0.749996682508344
"80+","male","low","low","high","low","low","low",0.749987157953436
"80+","male","low","low","low","mid","high","low",0.743166904562809
"80+","male","low","low","low","high","mid","high",0.740702962141723
"80+","female","low","mid","low","high","low","low",0.739560624215673
"80+","male","low","low","high","low","high","low",0.738524527970918
"80+","female","low","low","low","low","low","low",0.727387911535157
"80+","male","low","low","low","low","mid","low",0.725723079350968
"80+","female","low","low","low","high","low","mid",0.725382587843273
"70-79","male","low","low","low","high","mid","mid",0.72441444840291
"80+","male","low","mid","low","high","high","low",0.723289152783241
"65-69","male","low","low","low","high","mid","mid",0.717682867624505
"80+","female","low","low","low","low","high","low",0.71528249495379
"80+","male","low","low","low","high","low","high",0.714879292883143
"80+","female","low","low","low","high","high","mid",0.713223231563814
"80+","male","low","mid","low","high","low","low",0.711951724667435
"70-79","female","low","low","low","high","high","low",0.703692719294459
"70-79","male","mid","low","low","high","high","low",0.702601225051857
"80+","male","low","low","low","high","high","high",0.702445646340668
"80+","female","low","mid","low","high","mid","low",0.701098870838417
"70-79","male","low","low","low","mid","mid","low",0.700921422456952
"65-69","male","low","low","low","high","high","mid",0.700905133046813
"80+","male","low","low","low","low","low","low",0.699013769079599
"70-79","male","low","low","low","high","low","low",0.69713780222962
"80+","female","mid","low","low","mid","mid","low",0.696427063913966
"70-79","male","low","low","high","low","mid","low",0.695827977106943
"80+","female","low","high","low","high","high","low",0.695088548618108
"65-69","male","low","low","low","mid","mid","low",0.693858502911101
"80+","male","mid","low","low","high","mid","mid",0.691323303729738
"80+","female","low","low","high","high","mid","low",0.691113320058557
"80+","female","low","low","mid","low","mid","low",0.690989011808697
"65-69","male","low","low","high","low","mid","low",0.688698195141955
"70-79","female","mid","low","low","high","mid","low",0.686236683352967
"80+","male","low","low","low","low","high","low",0.686191960560599
"65-69","male","low","low","low","high","low","low",0.685952874976415
"65-69","male","mid","low","low","high","mid","low",0.685128005095319
"80+","male","low","low","low","mid","mid","mid",0.683566919196519
"80+","female","high","low","low","high","mid","low",0.680337412781215
"80+","male","low","low","high","low","mid","mid",0.678313563121048
"65-69","male","low","low","low","mid","high","low",0.676303508831123
"80+","female","low","low","low","high","mid","high",0.675121791592484
"80+","male","low","mid","low","high","mid","low",0.671225257844162
"70-79","male","low","low","low","high","high","mid",0.671020278178904
"65-69","male","low","low","high","low","high","low",0.67098760704416
"80+","female","mid","low","low","mid","low","low",0.668169334094265
"65-69","male","mid","low","low","high","high","low",0.66731242004803
"80+","female","low","high","low","high","low","low",0.666552325761766
"80+","male","mid","low","low","mid","mid","low",0.66630876217786
"80+","male","low","high","low","high","high","low",0.664901347196636
"80+","male","mid","low","low","high","low","mid",0.662820508126501
"80+","female","low","low","high","high","low","low",0.662600597916721
"80+","female","low","low","mid","low","low","low",0.66247041906708
"80+","male","low","low","high","high","mid","low",0.660724656633174
"80+","male","low","low","mid","low","mid","low",0.660594124740376
"80+","female","low","high","low","high","mid","low",0.658282622836749
"70-79","male","low","low","low","high","mid","high",0.656597134579795
"80+","male","low","low","low","mid","low","mid",0.654705635965317
"80+","female","mid","low","low","mid","high","low",0.654682674401537
"65-69","male","low","mid","low","high","high","low",0.653662494291827
"70-79","male","mid","low","low","high","mid","mid",0.652589709942678
"80+","female","high","low","low","high","low","low",0.651331817571438
"80+","male","high","low","low","high","mid","low",0.649426371523193
"80+","male","mid","low","low","high","high","mid",0.649230580232196
"80+","male","low","low","high","low","low","mid",0.649219012238454
"65-69","male","low","low","low","high","mid","high",0.649011630741202
"80+","female","low","low","high","high","high","low",0.649006500184402
"80+","female","low","low","mid","low","high","low",0.648873855766006
"80+","female","low","low","low","high","low","high",0.645889266789644
"70-79","male","low","low","low","mid","high","low",0.645204815725435
"80+","male","low","low","low","mid","high","mid",0.640965805200532
"70-79","male","low","low","high","low","high","low",0.639650317984551
"70-79","male","low","low","low","low","mid","low",0.639125639117334
"80+","female","high","low","low","high","high","low",0.637532062398332
"80+","male","mid","low","low","mid","low","low",0.636709960775254
"80+","female","low","low","mid","mid","mid","low",0.636109945399038
