"cognitive_function","functional_status","socioeconomic_resources","probability"
"low","independent","low",0.453622026196204
"mid","independent","low",0.316492916332531
"high","independent","low",0.229885057471264
"low","limited","low",0.681904761904762
"mid","limited","low",0.21047619047619
"high","limited","low",0.107619047619048
"low","independent","mid",0.239989798520786
"mid","independent","mid",0.414435093088498
"high","independent","mid",0.345575108390717
"low","limited","mid",0.517279821627648
"mid","limited","mid",0.286510590858417
"high","limited","mid",0.196209587513935
"low","independent","high",0.175870646766169
"mid","independent","high",0.341542288557214
"high","independent","high",0.482587064676617
"low","limited","high",0.333333333333333
"mid","limited","high",0.321660181582361
"high","limited","high",0.345006485084306
