"psychological_condition","functional_status","physical_health","probability"
"low","independent","low",0.332592043489004
"mid","independent","low",0.554978996787744
"high","independent","low",0.112428959723252
"low","limited","low",0.490159901599016
"mid","limited","low",0.412669126691267
"high","limited","low",0.0971709717097171
"low","independent","mid",0.233689205219454
"mid","independent","mid",0.553973902728351
"high","independent","mid",0.212336892052195
"low","limited","mid",0.361635220125786
"mid","limited","mid",0.531446540880503
"high","limited","mid",0.106918238993711
"low","independent","high",0.123621862538119
"mid","independent","high",0.556415669716162
"high","independent","high",0.319962467745719
"low","limited","high",0.18859649122807
"mid","limited","high",0.464912280701754
"high","limited","high",0.346491228070175
