"variable1","state1","variable2","state2","n","limited_n","observed_limited","mean_cv_probability"
"age_group","65-69","sex","female","332","16","0.0481927710843374","0.0475033423495556"
"age_group","80+","sex","male","230","86","0.373913043478261","0.401957323588557"
"age_group","70-79","sex","female","396","46","0.116161616161616","0.12549031734372"
"age_group","70-79","sex","male","324","74","0.228395061728395","0.217332636419001"
"age_group","80+","sex","female","141","42","0.297872340425532","0.392338340170903"
"age_group","65-69","sex","male","167","33","0.197604790419162","0.178476109253551"
"age_group","65-69","physical_health","low","113","19","0.168141592920354","0.156049601642316"
"age_group","80+","physical_health","low","233","97","0.416309012875536","0.479447786056911"
"age_group","70-79","physical_health","low","281","63","0.224199288256228","0.23793685452786"
"age_group","70-79","physical_health","mid","202","33","0.163366336633663","0.157946714400483"
"age_group","80+","physical_health","mid","76","21","0.276315789473684","0.325279076483355"
"age_group","70-79","physical_health","high","237","24","0.10126582278481","0.0900609596482835"
"age_group","65-69","physical_health","mid","164","15","0.0914634146341463","0.0940149038663207"
"age_group","65-69","physical_health","high","222","15","0.0675675675675676","0.0564169850708878"
"age_group","80+","physical_health","high","62","10","0.161290322580645","0.182860426217263"
"age_group","65-69","cognitive_function","high","227","17","0.0748898678414097","0.0619887615422316"
"age_group","80+","cognitive_function","low","208","91","0.4375","0.52289027704667"
"age_group","70-79","cognitive_function","low","223","46","0.20627802690583","0.258339747253771"
"age_group","70-79","cognitive_function","high","231","33","0.142857142857143","0.114887270283844"
"age_group","80+","cognitive_function","high","62","10","0.161290322580645","0.177592715801747"
"age_group","65-69","cognitive_function","mid","175","11","0.0628571428571429","0.0653408338158991"
"age_group","70-79","cognitive_function","mid","266","41","0.154135338345865","0.135192544341016"
"age_group","65-69","cognitive_function","low","97","21","0.216494845360825","0.206912630077593"
"age_group","80+","cognitive_function","mid","101","27","0.267326732673267","0.27720756815891"
"age_group","65-69","psychological_condition","mid","278","24","0.0863309352517986","0.0868947744533358"
"age_group","80+","psychological_condition","low","149","69","0.463087248322148","0.525244850922419"
"age_group","70-79","psychological_condition","mid","400","65","0.1625","0.146083677002028"
"age_group","70-79","psychological_condition","low","171","38","0.222222222222222","0.250556855859084"
"age_group","80+","psychological_condition","mid","175","45","0.257142857142857","0.312506985681848"
"age_group","65-69","psychological_condition","low","96","15","0.15625","0.142165396760317"
"age_group","70-79","psychological_condition","high","149","17","0.114093959731544","0.126384206141979"
"age_group","65-69","psychological_condition","high","125","10","0.08","0.0621759561470205"
"age_group","80+","psychological_condition","high","47","14","0.297872340425532","0.315312449100034"
"age_group","65-69","social_resources","low","131","13","0.099236641221374","0.125146989446907"
"age_group","80+","social_resources","low","162","65","0.401234567901235","0.469818250291924"
"age_group","70-79","social_resources","high","249","36","0.144578313253012","0.133619086300516"
"age_group","70-79","social_resources","mid","237","43","0.181434599156118","0.160063389657953"
"age_group","70-79","social_resources","low","234","41","0.175213675213675","0.208990444573102"
"age_group","80+","social_resources","mid","122","36","0.295081967213115","0.339366185302039"
"age_group","65-69","social_resources","mid","194","18","0.0927835051546392","0.0858108421083933"
"age_group","65-69","social_resources","high","174","18","0.103448275862069","0.0720405799932318"
"age_group","80+","social_resources","high","87","27","0.310344827586207","0.347777692360057"
"age_group","65-69","socioeconomic_resources","high","238","25","0.105042016806723","0.0956153106133178"
"age_group","80+","socioeconomic_resources","low","187","70","0.374331550802139","0.44218518333129"
"age_group","70-79","socioeconomic_resources","low","261","39","0.149425287356322","0.163677462921471"
"age_group","70-79","socioeconomic_resources","mid","243","45","0.185185185185185","0.177284673371846"
"age_group","70-79","socioeconomic_resources","high","216","36","0.166666666666667","0.15884234451855"
"age_group","80+","socioeconomic_resources","high","75","23","0.306666666666667","0.311188544651771"
"age_group","80+","socioeconomic_resources","mid","109","35","0.321100917431193","0.382955231721389"
"age_group","65-69","socioeconomic_resources","mid","180","18","0.1","0.103189446534947"
"age_group","65-69","socioeconomic_resources","low","81","6","0.0740740740740741","0.0524206864584609"
"age_group","65-69","health_behavior","high","188","13","0.0691489361702128","0.0384141062251932"
"age_group","80+","health_behavior","low","172","77","0.447674418604651","0.518602034423185"
"age_group","70-79","health_behavior","low","218","49","0.224770642201835","0.251885520045283"
"age_group","70-79","health_behavior","mid","291","53","0.18213058419244","0.160078778435728"
"age_group","70-79","health_behavior","high","211","18","0.0853080568720379","0.0882273553232268"
"age_group","80+","health_behavior","high","71","17","0.23943661971831","0.270682221278056"
"age_group","80+","health_behavior","mid","128","34","0.265625","0.307436740296374"
"age_group","65-69","health_behavior","low","105","20","0.19047619047619","0.201529005482069"
"age_group","65-69","health_behavior","mid","206","16","0.0776699029126214","0.083467098832242"
"sex","female","physical_health","low","319","63","0.197492163009404","0.243624458916939"
"sex","male","physical_health","low","308","116","0.376623376623377","0.38470452228788"
"sex","male","physical_health","mid","190","45","0.236842105263158","0.23949365704437"
"sex","female","physical_health","mid","252","24","0.0952380952380952","0.105321807608249"
"sex","female","physical_health","high","298","17","0.0570469798657718","0.0554620247667133"
"sex","male","physical_health","high","223","32","0.143497757847534","0.128603951423184"
"sex","female","cognitive_function","high","288","21","0.0729166666666667","0.057047342304592"
"sex","male","cognitive_function","low","236","100","0.423728813559322","0.44626030066708"
"sex","female","cognitive_function","low","292","58","0.198630136986301","0.277822039121212"
"sex","male","cognitive_function","high","232","39","0.168103448275862","0.151687595265691"
"sex","female","cognitive_function","mid","289","25","0.0865051903114187","0.0803851601562158"
"sex","male","cognitive_function","mid","253","54","0.213438735177866","0.2061759518237"
"sex","female","psychological_condition","mid","470","38","0.0808510638297872","0.105547127601907"
"sex","male","psychological_condition","low","180","66","0.366666666666667","0.420381517915179"
"sex","male","psychological_condition","mid","383","96","0.25065274151436","0.22890806950461"
"sex","female","psychological_condition","low","236","56","0.23728813559322","0.250364025438991"
"sex","male","psychological_condition","high","158","31","0.19620253164557","0.185639272313097"
"sex","female","psychological_condition","high","163","10","0.0613496932515337","0.0741835663543849"
"sex","female","social_resources","low","307","53","0.172638436482085","0.20918871531986"
