"variable","state","n","limited_n","observed_limited","mean_cv_probability"
"age_group","65-69","499","49","0.0981963927855711","0.0913359116340589"
"age_group","80+","371","128","0.345013477088949","0.398301591346269"
"age_group","70-79","720","120","0.166666666666667","0.166819360927596"
"sex","female","869","104","0.119677790563867","0.138993073984192"
"sex","male","721","193","0.267683772538141","0.26722811216431"
"physical_health","low","627","179","0.28548644338118","0.312926946186875"
"physical_health","mid","442","69","0.156108597285068","0.162997489492554"
"physical_health","high","521","49","0.0940499040307102","0.0867684540265846"
"cognitive_function","high","520","60","0.115384615384615","0.0992714551641591"
"cognitive_function","low","528","158","0.299242424242424","0.353108837842471"
"cognitive_function","mid","542","79","0.145756457564576","0.139103002023141"
"psychological_condition","mid","853","134","0.157092614302462","0.160936624376509"
"psychological_condition","low","416","122","0.293269230769231","0.323929286606573"
"psychological_condition","high","321","41","0.127725856697819","0.129043384240604"
"social_resources","low","527","119","0.225806451612903","0.268327469060612"
"social_resources","high","510","81","0.158823529411765","0.149142887535246"
"social_resources","mid","553","97","0.175406871609403","0.17357143096711"
"socioeconomic_resources","high","529","84","0.158790170132325","0.151995333064006"
"socioeconomic_resources","low","529","115","0.217391304347826","0.245093615706221"
"socioeconomic_resources","mid","532","98","0.184210526315789","0.194354128314437"
"health_behavior","high","470","48","0.102127659574468","0.0958643864984661"
"health_behavior","low","495","146","0.294949494949495","0.333881088618741"
"health_behavior","mid","625","103","0.1648","0.165006479427479"
