"scenario","probability_limited","change_from_baseline"
"No evidence",0.18875,0
"Age 65-69",0.100862641008626,-0.0878873589913735
"Age 70-79",0.168202764976959,-0.0205472350230414
"Age 80+",0.346393588601959,0.157643588601959
"Male",0.269283746556474,0.0805337465564739
"Female",0.121853546910755,-0.0668964530892448
"Physical low",0.286620835536753,0.097870835536753
"Physical high",0.0966306420851875,-0.0921193579148124
"Cognitive low",0.300501882057716,0.111751882057717
"Cognitive high",0.117834394904459,-0.0709156050955413
"Physical + cognitive low",0.421655052383018,0.232905052383018
"Physical + cognitive high",0.0608144949984592,-0.127935505001541
"All domains low",0.602762260225977,0.414012260225977
"All domains high",0.0382238336957328,-0.150526166304267
